ID,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=0cb4a784529cb1b8,Software  Engineer,서울,정규직,"languages,  including...  limited  to:  C++,  Java,  C,  and  Python.  Excellent  verbal  and  written  communication  skills.  About..."
https://kr.indeed.com/viewjob?jk=5fe21ceab5a3ce0b,연구소  R&D  인프라  운영,성남  분당구,,"람들과  소통  능력  및  협업  경험  우대사항  -  개발프로젝트  참여  경험  -  클라우드  서비스  운영  경험  -  Python,  Groovy,  Java  등  개발언어  가능  -  가상화  인프라(vSphere  등)  나  Docker  활용..."
https://kr.indeed.com/viewjob?jk=d364360d1e0368e3,Python  기반  빅데이터  처리  개발자,서울  서초구,정규직,인터넷·IT·통신·모바일·게임>응용프로그래머>  Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>  Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjob?jk=f544b8043a0cede5,Data  Scientist,서울,,"testing,  classification,  or  clustering  Experience  with  Python  programming  language  and  writing  SQL  queries  Bachelor’s  degree..."
https://kr.indeed.com/viewjob?jk=4ed6582dcb0007db,전남  ICT이노베이션스퀘어  5기,서울,정규직,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>  Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
https://kr.indeed.com/viewjob?jk=e1f07ba580132402,[TmaxOS/R&D]  OS부문  개발자,성남  분당구,정규직,솔루션  개발  [주  사용  언어]  -  C/C++  -  JavaScript/TypeScript  -  Java  -  Python  자격요건  (공통)  해외  여행에  결격  사유가  없는  자  -  4년제  대졸(학사)  이상  /  기졸업자  또는  23년...
https://kr.indeed.com/viewjob?jk=b43f78f340314d3e,[코어라인소프트]  인공지능  엔진  및  영상처리  개발자  찾습니다.,서울  마포구,정규직,바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>  Python|전자·기계·기술·화학·연구개발>광학·의료장비>AI의료|전자·기계·기술·화학·연구개발>광학·의료장비>의료영...
https://kr.indeed.com/viewjob?jk=ccd1d43784d307da,AWS  클라우드엔지니어,서울  마포구,,관리|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>AWS|인터넷·IT·통신·모바일·게임>웹프로그래머>PHP  |인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>  Python
https://kr.indeed.com/viewjob?jk=bd4560a615f241cc,[일  7시간]  PHP  웹  백엔드  개발자,성남  분당구,정규직,통신·모바일·게임>웹프로그래머>  Python|인터넷·IT·통신·모바일·게임...  프로그래머>자바스크립트|인터넷·IT·통신·모바일·게임>응용프로그래머>  Python|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>데이터사이언스|인터...
https://kr.indeed.com/viewjob?jk=a6ccd440c6c74b6a,Staff  Data  Analyst  (Eats  Strategy),서울,,"experience  with  Python  as  a  plus  Previous...  Statistics)  공학  및  비지니스  학위  (석/박사  or  MBA)  Python을  사용한  실무  경험자  이커머스,  음식배달업계,  또는  IT  산업  경험..."
https://kr.indeed.com/viewjob?jk=e30fe92d72ceb17c,"자율  주행,  로봇  SW  개발자",성남  수정구,정규직,"(주)에바  모집부문  및  자격요건  모집부문  담당업무  자격요건  인원  자율주행  SW  엔지니어  Python응용SW  [담당업무]ROS  개발,  로봇  주행  알고리즘  개발,  SW  Optimization[근무부서  및  직급/직책]근무부서:  개발팀..."
https://kr.indeed.com/viewjob?jk=a8a2e292ef8b0528,(신입/인턴)  리서치  사회조사  연구원,서울  성동구,"연봉  28,000,000원  -  30,000,000원인턴","PowerPoint  이용  문서작성  능숙자  SPSS,  AMOS,  R,  Python  등  관련  툴  사용  가능자  주식회사  리서치앤유  (신입/인턴)  리서치...  능숙자SPSS,  AMOS,  R,  Python  등  관련  툴  사용  가능자[우대..."
https://kr.indeed.com/viewjob?jk=c06905fe61fc2dd6,Database  Engineer  (DBA),서울  중구,정규직,"운영  경험  보유–  DBMS  및  Linux  에  대한  전반적인  이해–  Python,  bash,  go  스트립팅  언어에  능통–  논리적인  문제  해결,  협업  및...  좋습니다.우대사항–  (우대)  Python/Shell  script  가능자..."
https://kr.indeed.com/viewjob?jk=637daa5067e55e6c,"의료영상,  인공지능  외  신입/경력  정규직,  인턴",서울  강남구,정규직  +1,하드웨어>소프트웨어|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>  Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝
https://kr.indeed.com/viewjob?jk=595c29728f37c032,[도쿄일렉트론코리아]  2022년  상반기  2차  추가,경기도  화성,정규직,게임>빅데이터·AI(인공지능)>  Python|인터넷·IT·통신·모바일·게임...  인터넷·IT·통신·모바일·게임>응용프로그래머>  Python|인터넷·IT·통신·모바일·게임>웹프로그래머>  Python|경영·인사·총무·사무>총무·법무·특허...
https://kr.indeed.com/viewjob?jk=77a79f333becb836,클라우드  엔지니어,성남  분당구,정규직,클라우드|인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>  Python|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>AWS|인터넷·IT·통신·모바일·게임>데이터베이스...
https://kr.indeed.com/viewjob?jk=8a7c4886df34e482,Python  서버  어플리케이션  개발자,서울  송파구,정규직,"담당업무]개발자  -  개발자  -  Python  프로그래밍과  Java,  C  소스...  담당업무]ㆍ  Python,  Kafka를  활용한  차세대  데이터  시스템  개발ㆍ실시간  대용량  로그  수집,  분석,  저장[필요기술]ㆍ  Python  프로그래밍과..."
https://kr.indeed.com/viewjob?jk=f10f40f07ee55b7d,[진행중]  빅데이터사업부  전문직(데이터  사이언티스트)  채용공고,서울  회현동,계약직,"컴퓨터공학)/수학/통계  관련  전공자  -  은행,  카드,  보험  등  금융  데이터  활용  분석  경험  보유자  -  Python/R/Java  등  분석  및  프로그래밍  언어  사용  경험자  -  상품  추천,  이탈  예측,  VOC  분석(STT..."
https://kr.indeed.com/viewjob?jk=d7bef71f836bc89e,[신입/경력]  영상  인식  알고리즘  개발자,서울  구로구,정규직,"1)  주요  업무  분야  :  머신  비젼,  영상  처리,  딥러닝  알고리즘  2)  사용  언어  :  C,  C++,  Python  3)  TensorFlow,  Deep  Learning  관련  지식  보유자  우대  4)  Vision,  Image..."
https://kr.indeed.com/viewjob?jk=22ffe020e40de675,[포티투마루]  인공지능(AI)  개발자  전  부문,서울  서초구,정규직,인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>  Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>딥러닝|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjob?jk=78e99625e5de3c95,전문연구요원  (병역특례)  수시  (AI  /  HW  분야),성남  분당구,"연봉  40,000,000원  -  100,000,000원정규직","모델의  RTL  IP  설계  및  IP  검증  가능자  -  Language:  Python/Perl,  C/C++  [우대  조건]  -  ARM  based  SoC  설계...  Linux,  shell,  tcl,  python,  perl  사용  원활..."
